id,CategoryKey,DisplayName,InternalName,BaseItem,Variant,QualityTier,PrimaryConsumer,Trade,Unit,MarketValue_cp,MaterialCost_cp,LaborCost_cp,Overhead_cp,EfficiencyFactor_MC,EfficiencyFactor_LC,WasteRecovery_pct,MC_eff,LC_eff,Duty,DutyPct,DutyFree,EffectiveTaxPct,TaxAmount_cp,NetProfit_cp,Regions,Tags,ImportReliant,ImportTier,ExportFriendly,SourcingNotes,Margin_pct,DisplayPrice,DisplayPrice_Tidy,SuggestedPrice_cp,SuggestedDisplayPrice,Perishable,Bulky,Fragile,ValueDense,CorridorFriendly,RegionalMult_InRegion,RegionalMult_OutOfRegion,Preview_InRegion_cp,Preview_OutOfRegion_cp,Preview_InRegion_Display,Preview_OutOfRegion_Display
11,FoodDrink,Cask-Conditioned Pale Ale,"Ale, tankard (Fine)","Ale, tankard",Fine,Fine,Artisan,,tankard,2.196,0.91,0.78,0.078,0.1,0.1,0.02,0.801,0.702,No,0,No,0.08,0.176,0.439,riverlands;farmland;urban,,No,0,Yes,,0.199908925,2cp 2st,2cp 2st,2.2,2cp 2st,Yes,No,No,No,Yes,0.95,1.03,2.086,2.262,2cp 9ci,2cp 2st 6ci
12,FoodDrink,Reserve Spiced Ale,"Ale, tankard (High Table)","Ale, tankard",High Table,Luxury,Noble,,tankard,3.648,1.26,1.08,0.108,0.1,0.1,0.02,1.109,0.972,No,0,No,0.35,1.277,0.182,riverlands;farmland;urban,,No,0,Yes,,0.049890351,3cp 6st 5ci,3cp 6st 5ci,3.6,3cp 6st,Yes,No,No,No,Yes,0.95,1.03,3.466,3.757,3cp 4st 7ci,3cp 7st 6ci
13,FoodDrink,Table Red,"Wine, bottle (table) (Low Inn)","Wine, bottle (table)",Low Inn,Staple,Commoner,,bottle,6.8,2.975,2.55,0.255,0.1,0.1,0.02,2.618,2.295,No,0,No,0.04,0.272,1.36,riverlands;farmland;urban,,No,0,Yes,,0.2,6cp 8st,6cp 8st,6.8,6cp 8st,Yes,Yes,Yes,No,Yes,0.94,1.1,6.392,7.48,6cp 3st 9ci,7cp 4st 8ci
14,FoodDrink,Cellar Table Wine,"Wine, bottle (table) (Common)","Wine, bottle (table)",Common,Common,Commoner,,bottle,8.107,3.5,3,0.3,0.1,0.1,0.02,3.08,2.7,No,0,No,0.05,0.405,1.622,riverlands;farmland;urban,,No,0,Yes,,0.20007401,8cp 1st 1ci,8cp 1st 1ci,8.1,8cp 1st,Yes,Yes,Yes,No,Yes,0.94,1.1,7.621,8.918,7cp 6st 2ci,8cp 9st 2ci
15,FoodDrink,Estate Vintage,"Wine, bottle (table) (Fine)","Wine, bottle (table)",Fine,Fine,Artisan,,bottle,10.978,4.55,3.9,0.39,0.1,0.1,0.02,4.004,3.51,No,0,No,0.08,0.878,2.196,riverlands;farmland;urban,,No,0,Yes,,0.200036437,10cp 9st 8ci,10cp 9st 8ci,11,11cp,Yes,Yes,Yes,No,Yes,0.94,1.1,10.319,12.076,10cp 3st 2ci,12cp 8ci
16,FoodDrink,Grand Reserve,"Wine, bottle (table) (High Table)","Wine, bottle (table)",High Table,Luxury,Noble,,bottle,18.24,6.3,5.4,0.54,0.1,0.1,0.02,5.544,4.86,No,0,No,0.35,6.384,0.912,riverlands;farmland;urban,,No,0,Yes,,0.05,18cp 2st 4ci,18cp 2st 4ci,18.2,18cp 2st,Yes,Yes,Yes,No,Yes,0.94,1.1,17.146,20.064,17cp 1st 5ci,20cp 6ci
17,Textiles,Coarse Linen,Linen (yard) (Coarse),Linen (yard),Coarse,Common,Commoner,,yard,4.5,1.8,1.575,0.225,0.1,0.1,0.02,1.584,1.417,No,0,No,0.05,0.225,1.049,urban,,No,0,No,,0.233111111,4cp 5st,4cp 5st,4.5,4cp 5st,No,No,No,No,No,1,1,4.5,4.5,4cp 5st,4cp 5st
18,Textiles,Standard Linen,Linen (yard) (Standard),Linen (yard),Standard,Common,Artisan,,yard,5,2,1.75,0.25,0.1,0.1,0.02,1.76,1.575,No,0,No,0.06,0.3,1.115,urban,,No,0,No,,0.223,5cp,5cp,5,5cp,No,No,No,No,No,1,1,5,5,5cp,5cp
19,Textiles,Fine Linen,Linen (yard) (Fine),Linen (yard),Fine,Fine,Noble,,yard,7.17,2.8,2.45,0.35,0.1,0.1,0.02,2.464,2.205,No,0,No,0.15,1.075,1.076,urban,,No,0,No,,0.150069735,7cp 1st 7ci,7cp 1st 7ci,7.2,7cp 2st,No,No,No,No,No,1,1,7.17,7.17,7cp 1st 7ci,7cp 1st 7ci
20,Textiles,Luxury Linen,Linen (yard) (Luxury),Linen (yard),Luxury,Luxury,Noble,,yard,14.34,4,3.5,0.5,0.1,0.1,0.02,3.52,3.15,No,0,No,0.35,5.019,2.151,urban,,No,0,No,,0.15,14cp 3st 4ci,14cp 3st 4ci,14.3,14cp 3st,No,No,No,No,No,1,1,14.34,14.34,14cp 3st 4ci,14cp 3st 4ci
21,Textiles,Coarse Wool Cloth,Wool cloth (yard) (Coarse),Wool cloth (yard),Coarse,Common,Commoner,,yard,7.2,2.88,2.52,0.36,0.1,0.1,0.02,2.534,2.268,No,0,No,0.05,0.36,1.678,urban,,No,0,No,,0.233055556,7cp 2st,7cp 2st,7.2,7cp 2st,No,No,No,No,No,1,1,7.2,7.2,7cp 2st,7cp 2st
22,Textiles,Standard Wool Cloth,Wool cloth (yard) (Standard),Wool cloth (yard),Standard,Common,Artisan,,yard,8,3.2,2.8,0.4,0.1,0.1,0.02,2.816,2.52,No,0,No,0.06,0.48,1.784,urban,,No,0,No,,0.223,8cp,8cp,8,8cp,No,No,No,No,No,1,1,8,8,8cp,8cp
23,Textiles,Fine Wool Cloth,Wool cloth (yard) (Fine),Wool cloth (yard),Fine,Fine,Noble,,yard,11.471,4.48,3.92,0.56,0.1,0.1,0.02,3.942,3.528,No,0,No,0.15,1.721,1.72,urban,,No,0,No,,0.149943335,11cp 4st 7ci,11cp 4st 7ci,11.5,11cp 5st,No,No,No,No,No,1,1,11.471,11.471,11cp 4st 7ci,11cp 4st 7ci
24,Textiles,Luxury Wool Cloth,Wool cloth (yard) (Luxury),Wool cloth (yard),Luxury,Luxury,Noble,,yard,22.944,6.4,5.6,0.8,0.1,0.1,0.02,5.632,5.04,No,0,No,0.35,8.03,3.442,urban,,No,0,No,,0.150017434,22cp 9st 4ci,22cp 9st 4ci,22.9,22cp 9st,No,No,No,No,No,1,1,22.944,22.944,22cp 9st 4ci,22cp 9st 4ci
25,Textiles,Coarse Canvas,Canvas (sq yd) (Coarse),Canvas (sq yd),Coarse,Common,Commoner,,sq yd,5.4,2.16,1.89,0.27,0.1,0.1,0.02,1.901,1.701,No,0,No,0.05,0.27,1.258,urban,,No,0,No,,0.232962963,5cp 4st,5cp 4st,5.4,5cp 4st,No,No,No,No,No,1,1,5.4,5.4,5cp 4st,5cp 4st
26,Textiles,Standard Canvas,Canvas (sq yd) (Standard),Canvas (sq yd),Standard,Common,Artisan,,sq yd,6,2.4,2.1,0.3,0.1,0.1,0.02,2.112,1.89,No,0,No,0.06,0.36,1.338,urban,,No,0,No,,0.223,6cp,6cp,6,6cp,No,No,No,No,No,1,1,6,6,6cp,6cp
27,Textiles,Fine Canvas,Canvas (sq yd) (Fine),Canvas (sq yd),Fine,Fine,Noble,,sq yd,8.604,3.36,2.94,0.42,0.1,0.1,0.02,2.957,2.646,No,0,No,0.15,1.291,1.29,urban,,No,0,No,,0.149930265,8cp 6st,8cp 6st,8.6,8cp 6st,No,No,No,No,No,1,1,8.604,8.604,8cp 6st,8cp 6st
28,Textiles,Luxury Canvas,Canvas (sq yd) (Luxury),Canvas (sq yd),Luxury,Luxury,Noble,,sq yd,17.208,4.8,4.2,0.6,0.1,0.1,0.02,4.224,3.78,No,0,No,0.35,6.023,2.581,urban,,No,0,No,,0.149988377,17cp 2st 1ci,17cp 2st 1ci,17.2,17cp 2st,No,No,No,No,No,1,1,17.208,17.208,17cp 2st 1ci,17cp 2st 1ci
29,Tools,Crude Iron Knife,Iron knife (Crude),Iron knife,Crude,Common,Commoner,,each,5.4,2.43,1.89,0.27,0.1,0.1,0.02,2.138,1.701,No,0,No,0.05,0.27,1.021,urban,,No,0,No,,0.189074074,5cp 4st,5cp 4st,5.4,5cp 4st,No,No,No,No,No,1,1,5.4,5.4,5cp 4st,5cp 4st
30,Tools,Standard Iron Knife,Iron knife (Standard),Iron knife,Standard,Common,Artisan,,each,6,2.7,2.1,0.3,0.1,0.1,0.02,2.376,1.89,No,0,No,0.06,0.36,1.074,urban,,No,0,No,,0.179,6cp,6cp,6,6cp,No,No,No,No,No,1,1,6,6,6cp,6cp
31,Tools,Fine Iron Knife,Iron knife (Fine),Iron knife,Fine,Fine,Artisan,,each,8.1,3.645,2.835,0.405,0.1,0.1,0.02,3.208,2.551,No,0,No,0.08,0.648,1.288,urban,,No,0,No,,0.159012346,8cp 1st,8cp 1st,8.1,8cp 1st,No,No,No,No,No,1,1,8.1,8.1,8cp 1st,8cp 1st
32,Tools,Masterwork Iron Knife,Iron knife (Masterwork),Iron knife,Masterwork,Luxury,Noble,,each,16.438,4.86,3.78,0.54,0.1,0.1,0.02,4.277,3.402,No,0,No,0.35,5.753,2.466,urban,,No,0,No,,0.15001825,16cp 4st 4ci,16cp 4st 4ci,16.4,16cp 4st,No,No,No,No,No,1,1,16.438,16.438,16cp 4st 4ci,16cp 4st 4ci
33,Tools,Crude Hammer,Hammer (carpenter's) (Crude),Hammer (carpenter's),Crude,Common,Commoner,,each,9,4.05,3.15,0.45,0.1,0.1,0.02,3.564,2.835,No,0,No,0.05,0.45,1.701,urban,,No,0,No,,0.189,9cp,9cp,9,9cp,No,No,No,No,No,1,1,9,9,9cp,9cp
34,Tools,Standard Hammer,Hammer (carpenter's) (Standard),Hammer (carpenter's),Standard,Common,Artisan,,each,10,4.5,3.5,0.5,0.1,0.1,0.02,3.96,3.15,No,0,No,0.06,0.6,1.79,urban,,No,0,No,,0.179,10cp,10cp,10,10cp,No,No,No,No,No,1,1,10,10,10cp,10cp
35,Tools,Fine Hammer,Hammer (carpenter's) (Fine),Hammer (carpenter's),Fine,Fine,Artisan,,each,13.5,6.075,4.725,0.675,0.1,0.1,0.02,5.346,4.252,No,0,No,0.08,1.08,2.147,urban,,No,0,No,,0.159037037,13cp 5st,13cp 5st,13.5,13cp 5st,No,No,No,No,No,1,1,13.5,13.5,13cp 5st,13cp 5st
36,Tools,Masterwork Hammer,Hammer (carpenter's) (Masterwork),Hammer (carpenter's),Masterwork,Luxury,Noble,,each,27.396,8.1,6.3,0.9,0.1,0.1,0.02,7.128,5.67,No,0,No,0.35,9.589,4.109,urban,,No,0,No,,0.149985399,27cp 4st,27cp 4st,27.4,27cp 4st,No,No,No,No,No,1,1,27.396,27.396,27cp 4st,27cp 4st
37,Tools,Crude Pickaxe,Pickaxe (Crude),Pickaxe,Crude,Common,Commoner,,each,16.2,7.29,5.67,0.81,0.1,0.1,0.02,6.415,5.103,No,0,No,0.05,0.81,3.062,urban,,No,0,No,,0.189012346,16cp 2st,16cp 2st,16.2,16cp 2st,No,No,No,No,No,1,1,16.2,16.2,16cp 2st,16cp 2st
38,Tools,Standard Pickaxe,Pickaxe (Standard),Pickaxe,Standard,Common,Artisan,,each,18,8.1,6.3,0.9,0.1,0.1,0.02,7.128,5.67,No,0,No,0.06,1.08,3.222,urban,,No,0,No,,0.179,18cp,18cp,18,18cp,No,No,No,No,No,1,1,18,18,18cp,18cp
39,Tools,Fine Pickaxe,Pickaxe (Fine),Pickaxe,Fine,Fine,Artisan,,each,24.3,10.935,8.505,1.215,0.1,0.1,0.02,9.623,7.655,No,0,No,0.08,1.944,3.863,urban,,No,0,No,,0.158971193,24cp 3st,24cp 3st,24.3,24cp 3st,No,No,No,No,No,1,1,24.3,24.3,24cp 3st,24cp 3st
40,Tools,Masterwork Pickaxe,Pickaxe (Masterwork),Pickaxe,Masterwork,Luxury,Noble,,each,49.312,14.58,11.34,1.62,0.1,0.1,0.02,12.83,10.206,No,0,No,0.35,17.259,7.397,urban,,No,0,No,,0.150004056,49cp 3st 1ci,49cp 3st 1ci,49.3,49cp 3st,No,No,No,No,No,1,1,49.312,49.312,49cp 3st 1ci,49cp 3st 1ci
41,Weapons,Service Issue Dagger,Dagger (Service Issue),Dagger,Service Issue,Common,Military,,each,65.211,27,24,4.2,0.1,0.1,0.02,23.76,21.6,No,0,No,0.06,3.913,11.738,urban,,No,0,No,,0.180000307,65cp 2st 1ci,65cp 2st 1ci,65.2,65cp 2st,No,No,No,No,No,1,1,65.211,65.211,65cp 2st 1ci,65cp 2st 1ci
42,Weapons,Fine Dagger,Dagger (Fine),Dagger,Fine,Fine,Artisan,,each,83.716,33.75,30,5.25,0.1,0.1,0.02,29.7,27,No,0,No,0.08,6.697,15.069,urban,,No,0,No,,0.180001433,83cp 7st 2ci,83cp 7st 2ci,83.7,83cp 7st,No,No,No,No,No,1,1,83.716,83.716,83cp 7st 2ci,83cp 7st 2ci
43,Weapons,Masterwork Dagger,Dagger (Masterwork),Dagger,Masterwork,Luxury,Noble,,each,168.715,43.2,38.4,6.72,0.1,0.1,0.02,38.016,34.56,No,0,No,0.35,59.05,30.369,urban,,No,0,No,,0.180001778,1si 68cp 7st 2ci,1si 68cp 7st,169,1si 69cp,No,No,No,No,No,1,1,168.715,168.715,1si 68cp 7st,1si 68cp 7st
44,Weapons,Exhibition Dagger,Dagger (Exhibition),Dagger,Exhibition,Arcane,Noble,,each,259.6,59.4,52.8,9.24,0.1,0.1,0.02,52.272,47.52,No,0,No,0.4,103.84,46.728,urban,,No,0,No,,0.18,2si 59cp 6st,2si 59cp 6st,260,2si 60cp,No,No,No,No,No,1,1,259.6,259.6,2si 59cp 6st,2si 59cp 6st
45,Weapons,Service Issue Longsword,Longsword (Service Issue),Longsword,Service Issue,Common,Military,,each,652.105,270,240,42,0.1,0.1,0.02,237.6,216,No,0,No,0.06,39.126,117.379,urban,,No,0,No,,0.180000153,6si 52cp 1st,6si 52cp 1st,652,6si 52cp,No,No,No,No,No,1,1,652.105,652.105,6si 52cp 1st,6si 52cp 1st
46,Weapons,Fine Longsword,Longsword (Fine),Longsword,Fine,Fine,Artisan,,each,837.162,337.5,300,52.5,0.1,0.1,0.02,297,270,No,0,No,0.08,66.973,150.689,urban,,No,0,No,,0.179999809,8si 37cp 1st 6ci,8si 37cp 1st,837,8si 37cp,No,No,No,No,No,1,1,837.162,837.162,8si 37cp 1st,8si 37cp 1st
47,Weapons,Masterwork Longsword,Longsword (Masterwork),Longsword,Masterwork,Luxury,Noble,,each,1687.149,432,384,67.2,0.1,0.1,0.02,380.16,345.6,No,0,No,0.35,590.502,303.687,urban,,No,0,No,,0.180000107,16si 87cp 1st 5ci,16si 87cp 1st,1687,16si 87cp,No,No,No,No,No,1,1,1687.149,1687.149,16si 87cp 1st,16si 87cp 1st
48,Weapons,Exhibition Longsword,Longsword (Exhibition),Longsword,Exhibition,Arcane,Noble,,each,2596,594,528,92.4,0.1,0.1,0.02,522.72,475.2,No,0,No,0.4,1038.4,467.28,urban,,No,0,No,,0.18,1g 5si 96cp,1g 5si 96cp,2595,1g 5si 95cp,No,No,No,No,No,1,1,2596,2596,1g 5si 96cp,1g 5si 96cp
49,Weapons,"Service Issue Bow, Long","Bow, long (Service Issue)","Bow, long",Service Issue,Common,Military,,each,869.474,360,320,56,0.1,0.1,0.02,316.8,288,No,0,No,0.06,52.168,156.506,urban,,No,0,No,,0.180000782,8si 69cp 4st 7ci,8si 69cp 4st,869,8si 69cp,No,No,No,No,No,1,1,869.474,869.474,8si 69cp 4st,8si 69cp 4st
50,Weapons,"Fine Bow, Long","Bow, long (Fine)","Bow, long",Fine,Fine,Artisan,,each,1116.216,450,400,70,0.1,0.1,0.02,396,360,No,0,No,0.08,89.297,200.919,urban,,No,0,No,,0.180000108,11si 16cp 2st 2ci,11si 16cp 2st,1116,11si 16cp,No,No,No,No,No,1,1,1116.216,1116.216,11si 16cp 2st,11si 16cp 2st
51,Weapons,"Masterwork Bow, Long","Bow, long (Masterwork)","Bow, long",Masterwork,Luxury,Noble,,each,2249.532,576,512,89.6,0.1,0.1,0.02,506.88,460.8,No,0,No,0.35,787.336,404.916,urban,,No,0,No,,0.180000107,1g 2si 49cp 5st 3ci,1g 2si 49cp,2250,1g 2si 50cp,No,No,No,No,No,1,1,2249.532,2249.532,1g 2si 49cp,1g 2si 49cp
52,Weapons,"Exhibition Bow, Long","Bow, long (Exhibition)","Bow, long",Exhibition,Arcane,Noble,,each,3461.333,792,704,123.2,0.1,0.1,0.02,696.96,633.6,No,0,No,0.4,1384.533,623.04,urban,,No,0,No,,0.180000017,1g 14si 61cp 3st 3ci,1g 14si 61cp,3460,1g 14si 60cp,No,No,No,No,No,1,1,3461.333,3461.333,1g 14si 61cp,1g 14si 61cp
53,Armor,Service Issue Gambeson,Gambeson (padded) (Service Issue),Gambeson (padded),Service Issue,Common,Military,,set,457.895,200,160,28,0.1,0.1,0.02,176,144,No,0,No,0.06,27.474,82.421,urban,,No,0,No,,0.179999782,4si 57cp 9st,4si 57cp 9st,458,4si 58cp,No,No,No,No,No,1,1,457.895,457.895,4si 57cp 9st,4si 57cp 9st
54,Armor,Fine Gambeson,Gambeson (padded) (Fine),Gambeson (padded),Fine,Fine,Artisan,,set,564.324,240,192,33.6,0.1,0.1,0.02,211.2,172.8,No,0,No,0.08,45.146,101.578,urban,,No,0,No,,0.179999433,5si 64cp 3st 2ci,5si 64cp 3st,564,5si 64cp,No,No,No,No,No,1,1,564.324,564.324,5si 64cp 3st,5si 64cp 3st
55,Armor,Masterwork Gambeson,Gambeson (padded) (Masterwork),Gambeson (padded),Masterwork,Luxury,Noble,,set,1110.638,300,240,42,0.1,0.1,0.02,264,216,No,0,No,0.35,388.723,199.915,urban,,No,0,No,,0.180000144,11si 10cp 6st 4ci,11si 10cp 6st,1111,11si 11cp,No,No,No,No,No,1,1,1110.638,1110.638,11si 10cp 6st,11si 10cp 6st
56,Armor,Parade Gambeson,Gambeson (padded) (Parade),Gambeson (padded),Parade,Arcane,Noble,,set,1657.143,400,320,56,0.1,0.1,0.02,352,288,No,0,No,0.4,662.857,298.286,urban,,No,0,No,,0.180000157,16si 57cp 1st 4ci,16si 57cp 1st,1657,16si 57cp,No,No,No,No,No,1,1,1657.143,1657.143,16si 57cp 1st,16si 57cp 1st
57,Armor,Service Issue Chain Hauberk,Chain hauberk (Service Issue),Chain hauberk,Service Issue,Common,Military,,set,2747.368,1200,960,168,0.1,0.1,0.02,1056,864,No,0,No,0.06,164.842,494.526,urban,,No,0,No,,0.179999913,1g 7si 47cp 3st 7ci,1g 7si 47cp,2745,1g 7si 45cp,No,No,No,No,No,1,1,2747.368,2747.368,1g 7si 47cp,1g 7si 47cp
58,Armor,Fine Chain Hauberk,Chain hauberk (Fine),Chain hauberk,Fine,Fine,Artisan,,set,3385.946,1440,1152,201.6,0.1,0.1,0.02,1267.2,1036.8,No,0,No,0.08,270.876,609.47,urban,,No,0,No,,0.179999917,1g 13si 85cp 9st 5ci,1g 13si 85cp,3385,1g 13si 85cp,No,No,No,No,No,1,1,3385.946,3385.946,1g 13si 85cp,1g 13si 85cp
59,Armor,Masterwork Chain Hauberk,Chain hauberk (Masterwork),Chain hauberk,Masterwork,Luxury,Noble,,set,6663.83,1800,1440,252,0.1,0.1,0.02,1584,1296,No,0,No,0.35,2332.34,1199.49,urban,,No,0,No,,0.18000009,3g 6si 63cp 8st 3ci,3g 6si 63cp,6665,3g 6si 65cp,No,No,No,No,No,1,1,6663.83,6663.83,3g 6si 63cp,3g 6si 63cp
60,Armor,Parade Chain Hauberk,Chain hauberk (Parade),Chain hauberk,Parade,Arcane,Noble,,set,9942.857,2400,1920,336,0.1,0.1,0.02,2112,1728,No,0,No,0.4,3977.143,1789.714,urban,,No,0,No,,0.179999974,4g 19si 42cp 8st 6ci,4g 19si 42cp,9945,4g 19si 45cp,No,No,No,No,No,1,1,9942.857,9942.857,4g 19si 42cp,4g 19si 42cp
61,Armor,Service Issue Plate Mail,Plate mail (Service Issue),Plate mail,Service Issue,Common,Military,,set,5723.684,2500,2000,350,0.1,0.1,0.02,2200,1800,No,0,No,0.06,343.421,1030.263,urban,,No,0,No,,0.179999979,2g 17si 23cp 6st 8ci,2g 17si 23cp,5725,2g 17si 25cp,No,No,No,No,No,1,1,5723.684,5723.684,2g 17si 23cp,2g 17si 23cp
62,Armor,Fine Plate Mail,Plate mail (Fine),Plate mail,Fine,Fine,Artisan,,set,7054.054,3000,2400,420,0.1,0.1,0.02,2640,2160,No,0,No,0.08,564.324,1269.73,urban,,No,0,No,,0.18000004,3g 10si 54cp 5ci,3g 10si 54cp,7055,3g 10si 55cp,No,No,No,No,No,1,1,7054.054,7054.054,3g 10si 54cp,3g 10si 54cp
63,Armor,Masterwork Plate Mail,Plate mail (Masterwork),Plate mail,Masterwork,Luxury,Noble,,set,13882.979,3750,3000,525,0.1,0.1,0.02,3300,2700,No,0,No,0.35,4859.043,2498.936,urban,,No,0,No,,0.179999984,1pl 1g 18si 82cp 9st 8ci,1pl 1g 18si 82cp,13885,1pl 1g 18si 85cp,No,No,No,No,No,1,1,13882.979,13882.979,1pl 1g 18si 82cp,1pl 1g 18si 82cp
64,Armor,Parade Plate Mail,Plate mail (Parade),Plate mail,Parade,Arcane,Noble,,set,20714.286,5000,4000,700,0.1,0.1,0.02,4400,3600,No,0,No,0.4,8285.714,3728.572,urban,,No,0,No,,0.180000025,2pl 7si 14cp 2st 9ci,2pl 7si 14cp,20715,2pl 7si 15cp,No,No,No,No,No,1,1,20714.286,20714.286,2pl 7si 14cp,2pl 7si 14cp
65,Clothing,Coarse Shirt & Trousers,Shirt & trousers (linen) (Coarse),Shirt & trousers (linen),Coarse,Common,Commoner,,set,15.3,6.12,5.355,0.765,0.1,0.1,0.02,5.386,4.82,No,0,No,0.05,0.765,3.564,urban,,No,0,No,,0.232941176,15cp 3st,15cp 3st,15.3,15cp 3st,No,No,No,No,No,1,1,15.3,15.3,15cp 3st,15cp 3st
66,Clothing,Standard Shirt & Trousers,Shirt & trousers (linen) (Standard),Shirt & trousers (linen),Standard,Common,Artisan,,set,18,7.2,6.3,0.9,0.1,0.1,0.02,6.336,5.67,No,0,No,0.06,1.08,4.014,urban,,No,0,No,,0.223,18cp,18cp,18,18cp,No,No,No,No,No,1,1,18,18,18cp,18cp
